,density,cp,qs1CO2,qs2CO2,b01CO2,b02CO2,H1CO2,H2CO2,qs1N2,qs2N2,b01N2,b02N2,H1N2,H2N2,material,Forcefield
102,589.2470103,570.3022948,14.22331,14.63962,2.391910E-06,2.391910E-06,30257.5534,30257.5534,14.22331,14.63962,1.01414E-04,1.01414E-04,9250.32507,9250.32507,pyr+N682+N221+E212,DRE_DDEC
103,622.0387809,526.1590111,12.86623,13.00477,1.886420E-06,1.886420E-06,30433.63179,30433.63179,12.86623,13.00477,1.18088E-04,1.18088E-04,8620.7583,8620.7583,pyr+N682+N221+E51,DRE_DDEC
104,594.8717703,733.5521026,0.29163,0.29136,5.096880E-07,1.450450E-07,49316.4198,39091.57525,0.29163,0.29136,3.10781E-06,3.10781E-06,15425.44431,15425.44431,qtz-x+N634+E171,DRE_DDEC
105,655.3607199,845.6231368,0.5898,1.04739,5.830060E-07,3.053480E-08,50000,37490.40149,0.5898,1.04739,1.31233E-06,1.31233E-06,16828.46412,16828.46412,qtz-x+N9+E50,DRE_DDEC
106,614.8262905,544.5523618,3.76575,17.27031,5.570820E-06,2.932100E-06,39022.10172,31662.86155,3.76575,17.27031,1.22886E-04,1.22886E-04,10176.59405,10176.59405,sda+N77+E105,DRE_DDEC
107,701.6802493,766.666613,2.37027,20,7.513180E-05,2.748620E-06,39195.87914,35881.62577,2.37027,20,1.19553E-04,1.19553E-04,11087.48046,11087.48046,tfz-d+N21+N18+E115+E44,DRE_DDEC
108,713.2529914,734.9986091,10.65677,20,2.753520E-05,1.134590E-06,35578.51886,35578.51886,10.65677,20,9.55115E-05,9.55115E-05,11370.65492,11370.65492,tfz-d+N21+N320+E105+E13,DRE_DDEC
109,591.7503024,762.8479135,4.45611,20,1.840050E-05,3.627080E-06,33332.52237,33332.52237,4.45611,20,1.51183E-04,1.51183E-04,10086.43392,10086.43392,tfz-d+N369+N320+E115+E44,DRE_DDEC
110,678.9862467,795.9670559,5.99384,20,2.526010E-05,4.022720E-06,32398.11584,32398.11584,5.99384,20,1.09810E-04,1.09810E-04,10971.36989,10971.36989,tfz-d+N582+N320+E115+E44,DRE_DDEC
111,651.9199795,656.9462709,6.48729,20,2.109120E-05,2.733790E-06,30803.61974,30803.61974,6.48729,20,2.06221E-04,2.06221E-04,8463.11956,8463.11956,tsb+N245+N320+N373+E51+E51,DRE_DDEC
112,631.2223881,683.3395547,20,20,6.389760E-06,3.056040E-06,29959.62886,29959.62886,20,20,1.88345E-04,1.88345E-04,8141.2285,8141.2285,tsx+N197+N320+E105,DRE_DDEC
113,723.3796658,687.489494,16.24508,20,1.095480E-05,1.239440E-06,31193.70487,31193.70487,16.24508,20,2.38493E-04,2.38493E-04,8010.21559,8010.21559,tsx+N467+N320+E105,DRE_DDEC
114,562.4081348,700.9826733,20,20,7.393430E-06,2.451990E-06,30775.75,30775.75,20,20,1.80693E-04,1.80693E-04,8540.66344,8540.66344,tsx+N589+N320+E105,DRE_DDEC
115,622.1076626,726.4237731,15.87693,12.97024,4.136870E-06,3.264820E-06,36363.90782,30551.70592,15.87693,12.97024,1.95439E-04,1.95439E-04,9233.94345,9233.94345,ttz+N320+N320+N659+E151+E51+E212,DRE_DDEC
116,631.4089963,715.413354,14.87579,14.68177,4.804640E-06,4.223650E-06,35761.41547,29548.57984,14.87579,14.68177,1.54951E-04,1.54951E-04,9566.9655,9566.9655,ttz+N320+N320+N659+E19+E51+E212,DRE_DDEC
117,724.5562517,1090.004192,0.46131,11.37274,7.847540E-08,3.012880E-08,43898.27877,30064.09768,0.46131,11.37274,1.07799E-08,1.07799E-08,23834.37076,23834.37076,uop+N3+E212,DRE_DDEC
118,729.1540467,710.3432782,7.12375,20,3.694590E-06,2.332790E-06,41653.66093,32301.84061,7.12375,20,9.79563E-05,9.79563E-05,10621.13103,10621.13103,ury+N499+N320+N712+E51+E44,DRE_DDEC
119,707.990237,744.8672829,7.35235,20,1.243790E-05,2.097120E-06,37851.45809,33583.47819,7.35235,20,1.19110E-04,1.19110E-04,10870.77797,10870.77797,ury+N499+N320+N712+E69+E44,DRE_DDEC
120,573.824344,849.2741205,0.4399,0.61793,1.736070E-07,8.657470E-08,50000,42625.85354,0.4399,0.61793,1.66706E-06,1.66706E-06,18686.48917,18686.48917,wid+N9+E212,DRE_DDEC
121,623.2705948,788.0889241,0.19374,0.33188,3.718400E-07,4.754200E-08,49995.73536,44937.40164,0.19374,0.33188,1.88407E-06,1.88407E-06,16680.47543,16680.47543,wie+N6+E51,DRE_DDEC
122,483.6213609,626.3881493,6.01504,20,3.863850E-05,2.509100E-06,35435.46612,32847.44078,6.01504,20,1.19070E-04,1.19070E-04,10711.38755,10711.38755,xab+N428+N320+E212+E51,DRE_DDEC
